func,d,n_train,mode,method,val_mse_mean,val_mse_std,val_mse_median,grad_mse_mean,grad_mse_std,n_seeds,dist_nn_p50_mean,dist_nn_max_mean
poly_trig,2,512,halfspace,dml_fixed,0.06647354178130627,0.09062403996072717,0.018911952152848244,0.3861077859997749,0.4614718257572362,5,0.5151374220848084,1.0276690483093263
poly_trig,2,512,halfspace,dml_gradnorm,0.07389639336615801,0.09146433953705274,0.02194143272936344,0.4141492575407028,0.45660762184577686,5,0.5151374220848084,1.0276690483093263
poly_trig,2,512,halfspace,vanilla,0.099520009662956,0.12332751817760652,0.01570063643157482,0.5141800187528134,0.5268168200947788,5,0.5151374220848084,1.0276690483093263
poly_trig,2,512,radial,dml_fixed,0.0010159894867683762,0.0005799315038256078,0.001019872142933309,0.04253337997943163,0.02580685690613836,5,0.1910946100950241,0.4681014597415924
poly_trig,2,512,radial,dml_gradnorm,0.0012110683135688304,0.0006115801911736078,0.0012801566626876593,0.047731613554060456,0.025258051552610607,5,0.1910946100950241,0.4681014597415924
poly_trig,2,512,radial,vanilla,0.008562815305776895,0.005214929577369096,0.008533796295523643,0.20275833308696747,0.12921979032893624,5,0.1910946100950241,0.4681014597415924
poly_trig,2,2048,halfspace,dml_fixed,0.06887377984821796,0.07610861348326033,0.03924887254834175,0.4072474554181099,0.4198436534200822,5,0.5034578144550323,1.0078595638275147
poly_trig,2,2048,halfspace,dml_gradnorm,0.06188279204070568,0.07776906717723808,0.03389948606491089,0.37439940869808197,0.4144852118345023,5,0.5034578144550323,1.0078595638275147
poly_trig,2,2048,halfspace,vanilla,0.07639863595832139,0.11343767720266723,0.010557875037193298,0.4295247919857502,0.5098771780714624,5,0.5034578144550323,1.0078595638275147
poly_trig,2,2048,radial,dml_fixed,0.0005507971043698489,0.0004126318168832842,0.0004748522478621453,0.028199408762156965,0.019699600718530386,5,0.17566044628620148,0.4251181364059448
poly_trig,2,2048,radial,dml_gradnorm,0.0005731328870751895,0.00030109830783998367,0.000573629280552268,0.030359143763780592,0.015936862750060562,5,0.17566044628620148,0.4251181364059448
poly_trig,2,2048,radial,vanilla,0.0044854241888970135,0.002409306983417848,0.004553728271275759,0.13649030663073064,0.07307183092185969,5,0.17566044628620148,0.4251181364059448
poly_trig,5,512,halfspace,dml_fixed,0.09113776572048664,0.09480000014306923,0.045787449926137924,0.18725714832544327,0.1867095093070178,5,0.7331356763839721,1.3624586820602418
poly_trig,5,512,halfspace,dml_gradnorm,0.10851314291357994,0.09623092436021309,0.07305523008108139,0.20988874584436418,0.17471822169496795,5,0.7331356763839721,1.3624586820602418
poly_trig,5,512,halfspace,vanilla,0.1433921881020069,0.17520910858924815,0.06489576399326324,0.3260145142674446,0.27719262596387173,5,0.7331356763839721,1.3624586820602418
poly_trig,5,512,radial,dml_fixed,0.0005383337673265487,0.00020514629581919254,0.00044431930291466415,0.008436540048569441,0.003877778565618395,5,0.4578392684459686,0.927972412109375
poly_trig,5,512,radial,dml_gradnorm,0.0009173561120405793,0.00026065612412457125,0.000860822678077966,0.012183356657624244,0.0033451339467944533,5,0.4578392684459686,0.927972412109375
poly_trig,5,512,radial,vanilla,0.017818277701735497,0.009365839042511434,0.013104076497256756,0.15452241748571396,0.0781999534198535,5,0.4578392684459686,0.927972412109375
poly_trig,5,2048,halfspace,dml_fixed,0.07124176956713199,0.06359938776552096,0.0342739038169384,0.1543493650853634,0.1405932344660974,5,0.647680401802063,1.1995545864105224
poly_trig,5,2048,halfspace,dml_gradnorm,0.08146452866494655,0.0809442241501882,0.046156782656908035,0.17156647890806198,0.16567492157949953,5,0.647680401802063,1.1995545864105224
poly_trig,5,2048,halfspace,vanilla,0.1254569498822093,0.16982952945319454,0.048004601150751114,0.2353066697716713,0.2604690692904594,5,0.647680401802063,1.1995545864105224
poly_trig,5,2048,radial,dml_fixed,7.820775426807814e-05,3.637750190522474e-05,5.5783930292818695e-05,0.0017205816227942705,0.0008167956716111722,5,0.3515572905540466,0.7626483917236329
