func,d,n_train,mode,method,vanilla_val_mse,method_val_mse,val_pct,vanilla_grad_mse,method_grad_mse,grad_pct,n_seeds,median_paired_log10_ratio,mean_paired_log10_ratio,dml_wins
poly_trig,2,512,halfspace,dml_fixed,0.099520009662956,0.06647354178130627,-33.20585276626085,0.5141800187528134,0.3861077859997749,-24.908053226900645,5,-0.07046061023678409,-0.027019793209280486,3
poly_trig,2,512,halfspace,dml_gradnorm,0.099520009662956,0.07389639336615801,-25.747200370636403,0.5141800187528134,0.4141492575407028,-19.454424046804377,5,0.008952387439714427,0.026104758992225963,2
poly_trig,2,512,radial,dml_fixed,0.008562815305776895,0.0010159894867683762,-88.13486627367824,0.20275833308696747,0.04253337997943163,-79.022622975901,5,-0.9764498635685239,-0.9475256968137012,5
poly_trig,2,512,radial,dml_gradnorm,0.008562815305776895,0.0012110683135688304,-85.85665729877667,0.20275833308696747,0.047731613554060456,-76.4588646851879,5,-0.829805925325373,-0.8322814779575696,5
poly_trig,2,2048,halfspace,dml_fixed,0.07639863595832139,0.06887377984821796,-9.849463954053503,0.4295247919857502,0.4072474554181099,-5.186507736759318,5,0.01806958984336491,0.23390476939039032,2
poly_trig,2,2048,halfspace,dml_gradnorm,0.07639863595832139,0.06188279204070568,-19.00013493111932,0.4295247919857502,0.37439940869808197,-12.834039924172076,5,-0.032814254278236726,0.17271722467970224,3
poly_trig,2,2048,radial,dml_fixed,0.0044854241888970135,0.0005507971043698489,-87.72028951613397,0.13649030663073064,0.028199408762156965,-79.3396253124045,5,-0.9558693903448555,-0.9322063056370984,5
poly_trig,2,2048,radial,dml_gradnorm,0.0044854241888970135,0.0005731328870751895,-87.22232585060978,0.13649030663073064,0.030359143763780592,-77.75728950047997,5,-0.8995073362790494,-0.8881663017584097,5
poly_trig,5,512,halfspace,dml_fixed,0.1433921881020069,0.09113776572048664,-36.441610294939714,0.3260145142674446,0.18725714832544327,-42.56171423956061,5,-0.14789153373530406,-0.1326027500922619,3
poly_trig,5,512,halfspace,dml_gradnorm,0.1433921881020069,0.10851314291357994,-24.324229687892462,0.3260145142674446,0.20988874584436418,-35.61981548091971,5,0.026232682654346858,-0.002398152469367121,2
poly_trig,5,512,radial,dml_fixed,0.017818277701735497,0.0005383337673265487,-96.97875531890428,0.15452241748571396,0.008436540048569441,-94.54024847278265,5,-1.5249225970457576,-1.4955112917458067,5
poly_trig,5,512,radial,dml_gradnorm,0.017818277701735497,0.0009173561120405793,-94.85160054525792,0.15452241748571396,0.012183356657624244,-92.11547628113532,5,-1.2633544988244816,-1.2538687836765117,5
poly_trig,5,2048,halfspace,dml_fixed,0.1254569498822093,0.07124176956713199,-43.21417057084488,0.2353066697716713,0.1543493650853634,-34.40501910331077,5,-0.12858940882157685,-0.06514428395932619,4
poly_trig,5,2048,halfspace,dml_gradnorm,0.1254569498822093,0.08146452866494655,-35.06575064878186,0.2353066697716713,0.17156647890806198,-27.0881360589818,5,-0.15192690116674135,-0.019939237468464304,3
poly_trig,5,2048,radial,dml_fixed,0.0028374817688018084,7.820775426807814e-05,-97.24376187618279,0.039537685364484786,0.0017205816227942705,-95.64824898844532,5,-1.56679096337482,-1.5276400224563962,5
poly_trig,5,2048,radial,dml_gradnorm,0.0028374817688018084,9.08458256162703e-05,-96.79836442950497,0.039537685364484786,0.002042666543275118,-94.83362133001856,5,-1.4648181566576712,-1.4506340877869377,5
poly_trig,10,512,halfspace,dml_fixed,0.5637974143028259,0.1805550292134285,-67.97519381377491,0.7084483504295349,0.15706300288438796,-77.82999949267153,5,-0.5402726917476208,-0.5086227834996382,5
