model,seed,sigma_rel,region,n_train,n_steps,mse_vanilla,mse_dml,log_ratio,dml_win,grad_mse_vanilla,grad_mse_dml,log_grad_ratio,t_vanilla,t_dml,arm
siren,1,0.0,interpolation,24,1600,0.226601243019104,0.226601243019104,0.0,0,102.56230163574219,102.56230163574219,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.0,interpolation,24,1600,0.226601243019104,0.22263124585151672,-0.01767503740251731,1,102.56230163574219,89.54792785644531,-0.13569644604255612,3.406702995300293,10.029365539550781,dml_train
siren,1,0.0,interpolation,24,1600,0.226601243019104,0.14758796989917755,-0.42876743000350076,1,102.56230163574219,54.5370979309082,-0.6315892686859695,3.406702995300293,11.159655332565308,dml_da
siren,1,0.0,near_extrap,24,1600,1.3369128704071045,1.3369128704071045,0.0,0,152.1515655517578,152.1515655517578,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.0,near_extrap,24,1600,1.3369128704071045,1.2265276908874512,-0.08617596639143525,1,152.1515655517578,141.4127960205078,-0.07319392125595225,3.406702995300293,10.029365539550781,dml_train
siren,1,0.0,near_extrap,24,1600,1.3369128704071045,0.7617286443710327,-0.5625280244804873,1,152.1515655517578,100.93098449707031,-0.41044020435920353,3.406702995300293,11.159655332565308,dml_da
siren,1,0.0,far_extrap,24,1600,0.964023232460022,0.964023232460022,0.0,0,184.30885314941406,184.30885314941406,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.0,far_extrap,24,1600,0.964023232460022,1.0543930530548096,0.08960518081492914,0,184.30885314941406,170.53009033203125,-0.07770113610583175,3.406702995300293,10.029365539550781,dml_train
siren,1,0.0,far_extrap,24,1600,0.964023232460022,0.8450008034706116,-0.13177781617289067,1,184.30885314941406,139.8078155517578,-0.2763441666725549,3.406702995300293,11.159655332565308,dml_da
siren,1,0.0,all,24,1600,0.7803641557693481,0.7803641557693481,0.0,0,151.70045471191406,151.70045471191406,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.0,all,24,1600,0.7803641557693481,0.8058282732963562,0.0321099822732735,0,151.70045471191406,138.6831512451172,-0.08971604009264504,3.406702995300293,10.029365539550781,dml_train
siren,1,0.0,all,24,1600,0.7803641557693481,0.598651111125946,-0.26508170089257516,1,151.70045471191406,104.9047622680664,-0.3688549712496439,3.406702995300293,11.159655332565308,dml_da
siren,1,0.005,interpolation,24,1600,0.226601243019104,0.226601243019104,0.0,0,102.56230163574219,102.56230163574219,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.005,interpolation,24,1600,0.226601243019104,0.21716104447841644,-0.04255261535612135,1,102.56230163574219,86.90093994140625,-0.1657015861970519,3.406702995300293,10.23293161392212,dml_train
siren,1,0.005,interpolation,24,1600,0.226601243019104,0.12336583435535431,-0.6080376300455012,1,102.56230163574219,63.472900390625,-0.479857385460342,3.406702995300293,9.093112230300903,dml_da
siren,1,0.005,near_extrap,24,1600,1.3369128704071045,1.3369128704071045,0.0,0,152.1515655517578,152.1515655517578,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.005,near_extrap,24,1600,1.3369128704071045,1.1938873529434204,-0.11314846176234397,1,152.1515655517578,139.36134338378906,-0.08780701309525331,3.406702995300293,10.23293161392212,dml_train
siren,1,0.005,near_extrap,24,1600,1.3369128704071045,1.0348446369171143,-0.2561118218225786,1,152.1515655517578,119.6751937866211,-0.24009581126721574,3.406702995300293,9.093112230300903,dml_da
siren,1,0.005,far_extrap,24,1600,0.964023232460022,0.964023232460022,0.0,0,184.30885314941406,184.30885314941406,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.005,far_extrap,24,1600,0.964023232460022,1.0340425968170166,0.0701158559854144,0,184.30885314941406,165.07931518554688,-0.11018684364745764,3.406702995300293,10.23293161392212,dml_train
siren,1,0.005,far_extrap,24,1600,0.964023232460022,0.832392156124115,-0.14681172311237817,1,184.30885314941406,140.1255340576172,-0.27407420746455924,3.406702995300293,9.093112230300903,dml_da
siren,1,0.005,all,24,1600,0.7803641557693481,0.7803641557693481,0.0,0,151.70045471191406,151.70045471191406,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.005,all,24,1600,0.7803641557693481,0.7883895635604858,0.01023166059150639,0,151.70045471191406,134.73353576660156,-0.11860886501792631,3.406702995300293,10.23293161392212,dml_train
siren,1,0.005,all,24,1600,0.7803641557693481,0.6297921538352966,-0.21437082670174723,1,151.70045471191406,111.166259765625,-0.31088096739011367,3.406702995300293,9.093112230300903,dml_da
siren,1,0.01,interpolation,24,1600,0.226601243019104,0.226601243019104,0.0,0,102.56230163574219,102.56230163574219,0.0,3.406702995300293,3.406702995300293,vanilla
siren,1,0.01,interpolation,24,1600,0.226601243019104,0.21899761259555817,-0.034131005733126,1,102.56230163574219,71.58492279052734,-0.35958595852554415,3.406702995300293,10.203418254852295,dml_train
siren,1,0.01,interpolation,24,1600,0.226601243019104,0.11491258442401886,-0.6790201302295583,1,102.56230163574219,55.20343780517578,-0.619445204343646,3.406702995300293,11.749485969543457,dml_da
siren,1,0.01,near_extrap,24,1600,1.3369128704071045,1.3369128704071045,0.0,0,152.1515655517578,152.1515655517578,0.0,3.406702995300293,3.406702995300293,vanilla
