model,seed,sigma_rel,region,n_train,n_steps,mse_vanilla,mse_dml,log_ratio,dml_win,grad_mse_vanilla,grad_mse_dml,log_grad_ratio,t_vanilla,t_dml
siren,0,0.0,interpolation,24,1600,0.2275415062904358,0.12798438966274261,-0.5754243662599969,1,133.11911010742188,48.145721435546875,-1.0170120169392924,4.5561487674713135,5.881221294403076
siren,0,0.0,near_extrap,24,1600,1.4738223552703857,1.1428970098495483,-0.2542929920572184,1,158.82093811035156,105.81369018554688,-0.4060974843096458,4.5561487674713135,5.881221294403076
siren,0,0.0,far_extrap,24,1600,1.0769060850143433,1.1749610900878906,0.0871428384007203,0,169.46995544433594,158.82546997070312,-0.06486973089782024,4.5561487674713135,5.881221294403076
siren,0,0.0,all,24,1600,0.8599372506141663,0.8206248879432678,-0.04679331367681167,1,155.5781707763672,113.096923828125,-0.31890312720045977,4.5561487674713135,5.881221294403076
siren,0,0.005,interpolation,24,1600,0.2275415062904358,0.22230705618858337,-0.02327310477717337,1,133.11911010742188,101.9179458618164,-0.2670762549566731,4.5561487674713135,6.30779242515564
siren,0,0.005,near_extrap,24,1600,1.4738223552703857,1.1817328929901123,-0.22087735310261244,1,158.82093811035156,157.51124572753906,-0.00828053504019491,4.5561487674713135,6.30779242515564
siren,0,0.005,far_extrap,24,1600,1.0769060850143433,1.1752365827560425,0.08737728052667164,0,169.46995544433594,144.104248046875,-0.1621386746690836,4.5561487674713135,6.30779242515564
siren,0,0.005,all,24,1600,0.8599372506141663,0.8586761355400085,-0.0014675962734504427,1,155.5781707763672,132.2766571044922,-0.16225269482811233,4.5561487674713135,6.30779242515564
siren,0,0.01,interpolation,24,1600,0.2275415062904358,0.16127055883407593,-0.34424922278827497,1,133.11911010742188,66.49335479736328,-0.6941422773509058,4.5561487674713135,6.750457286834717
siren,0,0.01,near_extrap,24,1600,1.4738223552703857,1.2052278518676758,-0.20119062993720274,1,158.82093811035156,118.55518341064453,-0.2923988572327579,4.5561487674713135,6.750457286834717
siren,0,0.01,far_extrap,24,1600,1.0769060850143433,1.2553915977478027,0.15335536016213952,0,169.46995544433594,155.7918701171875,-0.0841547065511083,4.5561487674713135,6.750457286834717
siren,0,0.01,all,24,1600,0.8599372506141663,0.8823240399360657,0.0256999585691676,0,155.5781707763672,119.819580078125,-0.2611611992185545,4.5561487674713135,6.750457286834717
