K,lambda,sigma_y,N,sigma_star_finite,sigma_star_largeN_theory,rel_err_pct,A_van,A_dml,B_dml
1,1.0,0.0,24,0.0,0.0,0.0,0.08333333333333333,5.085945485263205e-05,0.0020078507978021714
1,1.0,0.0,50,0.0,0.0,0.0,0.040000000000000015,2.4412538329263368e-05,0.0009637683829450422
1,1.0,0.0,100,0.0,0.0,0.0,0.02,1.2206269164631686e-05,0.000481884191472521
1,1.0,0.0,500,0.0,0.0,0.0,0.0040000000000000036,2.4412538329263356e-06,9.637683829450422e-05
1,1.0,0.05,24,0.322018701337195,0.322018701337195,0.0,0.08333333333333333,5.085945485263205e-05,0.0020078507978021714
1,1.0,0.05,50,0.32201870133719507,0.322018701337195,1.723848677134143e-14,0.040000000000000015,2.4412538329263368e-05,0.0009637683829450422
1,1.0,0.05,100,0.32201870133719507,0.322018701337195,1.723848677134143e-14,0.02,1.2206269164631686e-05,0.000481884191472521
1,1.0,0.05,500,0.3220187013371951,0.322018701337195,3.447697354268286e-14,0.0040000000000000036,2.4412538329263356e-06,9.637683829450422e-05
1,1.0,0.1,24,0.64403740267439,0.64403740267439,0.0,0.08333333333333333,5.085945485263205e-05,0.0020078507978021714
1,1.0,0.1,50,0.6440374026743901,0.64403740267439,1.723848677134143e-14,0.040000000000000015,2.4412538329263368e-05,0.0009637683829450422
1,1.0,0.1,100,0.6440374026743901,0.64403740267439,1.723848677134143e-14,0.02,1.2206269164631686e-05,0.000481884191472521
1,1.0,0.1,500,0.6440374026743902,0.64403740267439,3.447697354268286e-14,0.0040000000000000036,2.4412538329263356e-06,9.637683829450422e-05
1,1.0,0.2,24,1.28807480534878,1.28807480534878,0.0,0.08333333333333333,5.085945485263205e-05,0.0020078507978021714
1,1.0,0.2,50,1.2880748053487803,1.28807480534878,1.723848677134143e-14,0.040000000000000015,2.4412538329263368e-05,0.0009637683829450422
1,1.0,0.2,100,1.2880748053487803,1.28807480534878,1.723848677134143e-14,0.02,1.2206269164631686e-05,0.000481884191472521
1,1.0,0.2,500,1.2880748053487805,1.28807480534878,3.447697354268286e-14,0.0040000000000000036,2.4412538329263356e-06,9.637683829450422e-05
